scenario,rep_num,ts,occ
base_r2s4i15s2,1,0.0,0.0
base_r2s4i15s2,1,2.292487805617881,1.0
base_r2s4i15s2,1,2.3340946835457603,2.0
base_r2s4i15s2,1,2.618355741282077,3.0
base_r2s4i15s2,1,4.204851317152571,4.0
base_r2s4i15s2,1,4.635022448805749,5.0
base_r2s4i15s2,1,5.11882937380998,6.0
base_r2s4i15s2,1,5.4503638158793635,7.0
base_r2s4i15s2,1,5.6459883589828515,8.0
base_r2s4i15s2,1,7.064963041112118,9.0
base_r2s4i15s2,1,7.1134842408858345,10.0
base_r2s4i15s2,1,7.482893152754551,11.0
base_r2s4i15s2,1,8.764758278242079,12.0
base_r2s4i15s2,1,8.79094333264014,13.0
base_r2s4i15s2,1,8.793420970605803,14.0
base_r2s4i15s2,1,8.955242826224511,15.0
base_r2s4i15s2,1,15.410884643082273,14.0
base_r2s4i15s2,1,15.410884643082273,15.0
base_r2s4i15s2,1,17.428808929470996,14.0
base_r2s4i15s2,1,17.428808929470996,15.0
base_r2s4i15s2,1,18.866127763174557,14.0
base_r2s4i15s2,1,18.866127763174557,15.0
base_r2s4i15s2,1,19.799402518480417,14.0
base_r2s4i15s2,1,19.799402518480417,15.0
base_r2s4i15s2,1,19.82730794771154,14.0
base_r2s4i15s2,1,19.82730794771154,15.0
base_r2s4i15s2,1,20.25320343641291,14.0
base_r2s4i15s2,1,20.25320343641291,15.0
base_r2s4i15s2,1,20.29388849104996,14.0
base_r2s4i15s2,1,20.29388849104996,15.0
base_r2s4i15s2,1,20.431080609973723,14.0
base_r2s4i15s2,1,20.431080609973723,15.0
base_r2s4i15s2,1,21.55486920184205,14.0
base_r2s4i15s2,1,21.55486920184205,15.0
base_r2s4i15s2,1,22.02225341151565,14.0
base_r2s4i15s2,1,22.02225341151565,15.0
base_r2s4i15s2,1,23.049339391807994,14.0
base_r2s4i15s2,1,23.049339391807994,15.0
base_r2s4i15s2,1,23.5420846252092,14.0
base_r2s4i15s2,1,23.5420846252092,15.0
base_r2s4i15s2,1,23.89301847252782,14.0
base_r2s4i15s2,1,23.89301847252782,15.0
base_r2s4i15s2,1,24.76851654664536,14.0
base_r2s4i15s2,1,24.76851654664536,15.0
base_r2s4i15s2,1,25.284282407483353,14.0
base_r2s4i15s2,1,25.284282407483353,15.0
base_r2s4i15s2,1,30.207249287826514,14.0
base_r2s4i15s2,1,30.207249287826514,15.0
base_r2s4i15s2,1,32.070516957141194,14.0
base_r2s4i15s2,1,32.070516957141194,15.0
base_r2s4i15s2,1,34.49063854212352,14.0
base_r2s4i15s2,1,34.49063854212352,15.0
base_r2s4i15s2,1,34.523662640807096,14.0
base_r2s4i15s2,1,34.523662640807096,15.0
base_r2s4i15s2,1,34.89106426175209,14.0
base_r2s4i15s2,1,34.89106426175209,15.0
base_r2s4i15s2,1,34.92649682944723,14.0
base_r2s4i15s2,1,34.92649682944723,15.0
base_r2s4i15s2,1,35.78742628324255,14.0
base_r2s4i15s2,1,35.78742628324255,15.0
base_r2s4i15s2,1,36.26232510762528,14.0
base_r2s4i15s2,1,36.26232510762528,15.0
base_r2s4i15s2,1,37.47512984417428,14.0
base_r2s4i15s2,1,37.47512984417428,15.0
base_r2s4i15s2,1,37.49594668315019,14.0
base_r2s4i15s2,1,37.49594668315019,15.0
base_r2s4i15s2,1,38.277164526405514,14.0
base_r2s4i15s2,1,38.277164526405514,15.0
base_r2s4i15s2,1,38.57411086557187,14.0
base_r2s4i15s2,1,38.57411086557187,15.0
base_r2s4i15s2,1,39.86238406813426,14.0
base_r2s4i15s2,1,39.86238406813426,15.0
base_r2s4i15s2,1,40.226260131826706,14.0
base_r2s4i15s2,1,40.226260131826706,15.0
base_r2s4i15s2,1,41.048191934921306,14.0
base_r2s4i15s2,1,41.048191934921306,15.0
base_r2s4i15s2,1,43.505702056145644,14.0
base_r2s4i15s2,1,43.505702056145644,15.0
base_r2s4i15s2,1,47.65115425763802,14.0
base_r2s4i15s2,1,47.65115425763802,15.0
base_r2s4i15s2,1,47.79434088993196,14.0
base_r2s4i15s2,1,47.79434088993196,15.0
base_r2s4i15s2,1,47.92691537725756,14.0
base_r2s4i15s2,1,47.92691537725756,15.0
base_r2s4i15s2,1,49.501086013386555,14.0
base_r2s4i15s2,1,49.501086013386555,15.0
base_r2s4i15s2,1,49.634382426389514,14.0
base_r2s4i15s2,1,49.634382426389514,15.0
base_r2s4i15s2,1,50.22099630718226,14.0
base_r2s4i15s2,1,50.22099630718226,15.0
base_r2s4i15s2,1,51.52120427912237,14.0
base_r2s4i15s2,1,51.52120427912237,15.0
base_r2s4i15s2,1,51.6194318527398,14.0
base_r2s4i15s2,1,51.6194318527398,15.0
base_r2s4i15s2,1,52.105951276399914,14.0
base_r2s4i15s2,1,52.105951276399914,15.0
base_r2s4i15s2,1,52.628982294413106,14.0
base_r2s4i15s2,1,52.628982294413106,15.0
base_r2s4i15s2,1,52.71670162866245,14.0
base_r2s4i15s2,1,52.71670162866245,15.0
base_r2s4i15s2,1,52.78223897772653,14.0
base_r2s4i15s2,1,52.78223897772653,15.0
base_r2s4i15s2,1,56.783096165640934,14.0
base_r2s4i15s2,1,56.783096165640934,15.0
base_r2s4i15s2,1,57.16685104939293,14.0
base_r2s4i15s2,1,57.16685104939293,15.0
base_r2s4i15s2,1,59.30220280605346,14.0
base_r2s4i15s2,1,59.30220280605346,15.0
base_r2s4i15s2,1,63.03563006929466,14.0
base_r2s4i15s2,1,63.03563006929466,15.0
base_r2s4i15s2,1,63.88291817872215,14.0
base_r2s4i15s2,1,63.88291817872215,15.0
base_r2s4i15s2,1,64.35854658122875,14.0
base_r2s4i15s2,1,64.35854658122875,15.0
base_r2s4i15s2,1,64.72751521920331,14.0
base_r2s4i15s2,1,64.72751521920331,15.0
base_r2s4i15s2,1,64.78088747149219,14.0
base_r2s4i15s2,1,64.78088747149219,15.0
base_r2s4i15s2,1,65.38848261861303,14.0
base_r2s4i15s2,1,65.38848261861303,15.0
base_r2s4i15s2,1,65.90786274372964,14.0
base_r2s4i15s2,1,65.90786274372964,15.0
base_r2s4i15s2,1,66.08830484898712,14.0
base_r2s4i15s2,1,66.08830484898712,15.0
base_r2s4i15s2,1,66.44894575613799,14.0
base_r2s4i15s2,1,66.44894575613799,15.0
base_r2s4i15s2,1,66.4728821198324,14.0
base_r2s4i15s2,1,66.4728821198324,15.0
base_r2s4i15s2,1,66.68903875259083,14.0
base_r2s4i15s2,1,66.68903875259083,15.0
base_r2s4i15s2,1,68.5840864286219,14.0
base_r2s4i15s2,1,68.5840864286219,15.0
base_r2s4i15s2,1,72.6957428865849,14.0
base_r2s4i15s2,1,72.6957428865849,15.0
base_r2s4i15s2,1,73.31575024922482,14.0
base_r2s4i15s2,1,73.31575024922482,15.0
base_r2s4i15s2,1,75.44425212309973,14.0
base_r2s4i15s2,1,75.44425212309973,15.0
base_r2s4i15s2,1,78.66127235124928,14.0
base_r2s4i15s2,1,78.66127235124928,15.0
base_r2s4i15s2,1,79.63471931024904,14.0
base_r2s4i15s2,1,79.63471931024904,15.0
base_r2s4i15s2,1,79.71981854718075,14.0
base_r2s4i15s2,1,79.71981854718075,15.0
base_r2s4i15s2,1,80.01743853999099,14.0
base_r2s4i15s2,1,80.01743853999099,15.0
base_r2s4i15s2,1,80.34757353510798,14.0
base_r2s4i15s2,1,80.34757353510798,15.0
base_r2s4i15s2,1,80.4695142402174,14.0
base_r2s4i15s2,1,80.4695142402174,15.0
base_r2s4i15s2,1,80.78148105188608,14.0
base_r2s4i15s2,1,80.78148105188608,15.0
base_r2s4i15s2,1,81.5073790557963,14.0
base_r2s4i15s2,1,81.5073790557963,15.0
base_r2s4i15s2,1,81.64617305483847,14.0
base_r2s4i15s2,1,81.64617305483847,15.0
base_r2s4i15s2,1,81.67237704282556,14.0
base_r2s4i15s2,1,81.67237704282556,15.0
base_r2s4i15s2,1,82.72376366652564,14.0
base_r2s4i15s2,1,82.72376366652564,15.0
base_r2s4i15s2,1,85.30552076326401,14.0
base_r2s4i15s2,1,85.30552076326401,15.0
base_r2s4i15s2,1,87.16012327409365,14.0
base_r2s4i15s2,1,87.16012327409365,15.0
base_r2s4i15s2,1,89.14160516355265,14.0
base_r2s4i15s2,1,89.14160516355265,15.0
base_r2s4i15s2,1,90.58736238162301,14.0
base_r2s4i15s2,1,90.58736238162301,15.0
base_r2s4i15s2,1,93.12947977925613,14.0
base_r2s4i15s2,1,93.12947977925613,15.0
base_r2s4i15s2,1,93.49977871754463,14.0
base_r2s4i15s2,1,93.49977871754463,15.0
base_r2s4i15s2,1,93.59225095227222,14.0
base_r2s4i15s2,1,93.59225095227222,15.0
base_r2s4i15s2,1,94.27999058927664,14.0
base_r2s4i15s2,1,94.27999058927664,15.0
base_r2s4i15s2,1,95.57811960402945,14.0
base_r2s4i15s2,1,95.57811960402945,15.0
base_r2s4i15s2,1,95.69252853550302,14.0
base_r2s4i15s2,1,95.69252853550302,15.0
base_r2s4i15s2,1,96.6215151224732,14.0
base_r2s4i15s2,1,96.6215151224732,15.0
base_r2s4i15s2,1,96.78331514467227,14.0
base_r2s4i15s2,1,96.78331514467227,15.0
base_r2s4i15s2,1,96.98087082457592,14.0
base_r2s4i15s2,1,96.98087082457592,15.0
base_r2s4i15s2,1,97.05776408003365,14.0
base_r2s4i15s2,1,97.05776408003365,15.0
base_r2s4i15s2,1,97.16825269330029,14.0
base_r2s4i15s2,1,97.16825269330029,15.0
base_r2s4i15s2,1,101.04756492319721,14.0
base_r2s4i15s2,1,101.04756492319721,15.0
base_r2s4i15s2,1,103.04925032566388,14.0
base_r2s4i15s2,1,103.04925032566388,15.0
base_r2s4i15s2,1,103.16055555740465,14.0
base_r2s4i15s2,1,103.16055555740465,15.0
base_r2s4i15s2,1,104.63964681366957,14.0
base_r2s4i15s2,1,104.63964681366957,15.0
base_r2s4i15s2,1,107.7391300502859,14.0
base_r2s4i15s2,1,107.7391300502859,15.0
base_r2s4i15s2,1,107.91384955981479,14.0
base_r2s4i15s2,1,107.91384955981479,15.0
base_r2s4i15s2,1,108.28601454768351,14.0
base_r2s4i15s2,1,108.28601454768351,15.0
base_r2s4i15s2,1,108.54286317361564,14.0
base_r2s4i15s2,1,108.54286317361564,15.0
base_r2s4i15s2,1,110.4271421747365,14.0
base_r2s4i15s2,1,110.4271421747365,15.0
base_r2s4i15s2,1,110.92145586568238,14.0
base_r2s4i15s2,1,110.92145586568238,15.0
base_r2s4i15s2,1,111.78185848392687,14.0
base_r2s4i15s2,1,111.78185848392687,15.0
base_r2s4i15s2,1,112.15397298295429,14.0
base_r2s4i15s2,1,112.15397298295429,15.0
base_r2s4i15s2,1,112.25105182295397,14.0
base_r2s4i15s2,1,112.25105182295397,15.0
base_r2s4i15s2,1,112.81621460753142,14.0
base_r2s4i15s2,1,112.81621460753142,15.0
