ts,occ,scenario,rep_num
0.0,0.0,base_r2s2i12s2,2
2.636910705834654,1.0,base_r2s2i12s2,2
3.120289893838618,2.0,base_r2s2i12s2,2
4.249528697160484,3.0,base_r2s2i12s2,2
5.642442609216411,4.0,base_r2s2i12s2,2
5.756176420558901,5.0,base_r2s2i12s2,2
7.425519782160746,6.0,base_r2s2i12s2,2
8.127408062627882,7.0,base_r2s2i12s2,2
9.651862768753944,8.0,base_r2s2i12s2,2
10.350239798944902,9.0,base_r2s2i12s2,2
11.277241611021799,10.0,base_r2s2i12s2,2
12.402589388459301,11.0,base_r2s2i12s2,2
12.70750627624067,12.0,base_r2s2i12s2,2
17.55183661874436,11.0,base_r2s2i12s2,2
17.55183661874436,12.0,base_r2s2i12s2,2
18.346847918824558,11.0,base_r2s2i12s2,2
18.346847918824558,12.0,base_r2s2i12s2,2
18.594807305337238,11.0,base_r2s2i12s2,2
18.594807305337238,12.0,base_r2s2i12s2,2
21.152002191140767,11.0,base_r2s2i12s2,2
21.152002191140767,12.0,base_r2s2i12s2,2
21.611618042092303,11.0,base_r2s2i12s2,2
21.611618042092303,12.0,base_r2s2i12s2,2
21.83235918942725,11.0,base_r2s2i12s2,2
21.83235918942725,12.0,base_r2s2i12s2,2
23.374685380318375,11.0,base_r2s2i12s2,2
23.374685380318375,12.0,base_r2s2i12s2,2
24.272196080935956,11.0,base_r2s2i12s2,2
24.272196080935956,12.0,base_r2s2i12s2,2
25.424102072710973,11.0,base_r2s2i12s2,2
25.424102072710973,12.0,base_r2s2i12s2,2
25.452680460863807,11.0,base_r2s2i12s2,2
25.452680460863807,12.0,base_r2s2i12s2,2
26.251892965903522,11.0,base_r2s2i12s2,2
26.251892965903522,12.0,base_r2s2i12s2,2
27.916575844985715,11.0,base_r2s2i12s2,2
27.916575844985715,12.0,base_r2s2i12s2,2
33.104560736447084,11.0,base_r2s2i12s2,2
33.104560736447084,12.0,base_r2s2i12s2,2
33.518687681287275,11.0,base_r2s2i12s2,2
33.518687681287275,12.0,base_r2s2i12s2,2
34.57371966171288,11.0,base_r2s2i12s2,2
34.57371966171288,12.0,base_r2s2i12s2,2
36.079507884852084,11.0,base_r2s2i12s2,2
36.079507884852084,12.0,base_r2s2i12s2,2
36.20779705351575,11.0,base_r2s2i12s2,2
36.20779705351575,12.0,base_r2s2i12s2,2
38.087120829927585,11.0,base_r2s2i12s2,2
38.087120829927585,12.0,base_r2s2i12s2,2
38.31710218798782,11.0,base_r2s2i12s2,2
38.31710218798782,12.0,base_r2s2i12s2,2
39.14237979564451,11.0,base_r2s2i12s2,2
39.14237979564451,12.0,base_r2s2i12s2,2
41.203644138696674,11.0,base_r2s2i12s2,2
41.203644138696674,12.0,base_r2s2i12s2,2
41.397966869955106,11.0,base_r2s2i12s2,2
41.397966869955106,12.0,base_r2s2i12s2,2
41.659451293276,11.0,base_r2s2i12s2,2
41.659451293276,12.0,base_r2s2i12s2,2
41.90092326195756,11.0,base_r2s2i12s2,2
41.90092326195756,12.0,base_r2s2i12s2,2
45.692788455580626,11.0,base_r2s2i12s2,2
45.692788455580626,12.0,base_r2s2i12s2,2
49.70598030927006,11.0,base_r2s2i12s2,2
49.70598030927006,12.0,base_r2s2i12s2,2
51.16167939471744,11.0,base_r2s2i12s2,2
51.16167939471744,12.0,base_r2s2i12s2,2
51.90062193730334,11.0,base_r2s2i12s2,2
51.90062193730334,12.0,base_r2s2i12s2,2
52.01859484636672,11.0,base_r2s2i12s2,2
52.01859484636672,12.0,base_r2s2i12s2,2
54.10406735333304,11.0,base_r2s2i12s2,2
54.10406735333304,12.0,base_r2s2i12s2,2
54.1697874606174,11.0,base_r2s2i12s2,2
54.1697874606174,12.0,base_r2s2i12s2,2
54.441629069701094,11.0,base_r2s2i12s2,2
54.441629069701094,12.0,base_r2s2i12s2,2
54.73355640887125,11.0,base_r2s2i12s2,2
54.73355640887125,12.0,base_r2s2i12s2,2
54.91722900907615,11.0,base_r2s2i12s2,2
54.91722900907615,12.0,base_r2s2i12s2,2
55.85294647784491,11.0,base_r2s2i12s2,2
55.85294647784491,12.0,base_r2s2i12s2,2
58.49446783104486,11.0,base_r2s2i12s2,2
58.49446783104486,12.0,base_r2s2i12s2,2
61.16329603197907,11.0,base_r2s2i12s2,2
61.16329603197907,12.0,base_r2s2i12s2,2
64.47955752071982,11.0,base_r2s2i12s2,2
64.47955752071982,12.0,base_r2s2i12s2,2
65.27838810667657,11.0,base_r2s2i12s2,2
65.27838810667657,12.0,base_r2s2i12s2,2
65.81564822531959,11.0,base_r2s2i12s2,2
65.81564822531959,12.0,base_r2s2i12s2,2
68.38446325671934,11.0,base_r2s2i12s2,2
68.38446325671934,12.0,base_r2s2i12s2,2
68.79166804531792,11.0,base_r2s2i12s2,2
68.79166804531792,12.0,base_r2s2i12s2,2
69.17468789798804,11.0,base_r2s2i12s2,2
69.17468789798804,12.0,base_r2s2i12s2,2
70.18270811637943,11.0,base_r2s2i12s2,2
70.18270811637943,12.0,base_r2s2i12s2,2
70.29794942131613,11.0,base_r2s2i12s2,2
70.29794942131613,12.0,base_r2s2i12s2,2
71.44546668827009,11.0,base_r2s2i12s2,2
71.44546668827009,12.0,base_r2s2i12s2,2
72.36831080865794,11.0,base_r2s2i12s2,2
72.36831080865794,12.0,base_r2s2i12s2,2
72.77027550654458,11.0,base_r2s2i12s2,2
72.77027550654458,12.0,base_r2s2i12s2,2
77.98505492481308,11.0,base_r2s2i12s2,2
77.98505492481308,12.0,base_r2s2i12s2,2
79.32828056304749,11.0,base_r2s2i12s2,2
79.32828056304749,12.0,base_r2s2i12s2,2
79.75647268144444,11.0,base_r2s2i12s2,2
79.75647268144444,12.0,base_r2s2i12s2,2
80.92142222677884,11.0,base_r2s2i12s2,2
80.92142222677884,12.0,base_r2s2i12s2,2
81.94004865319314,11.0,base_r2s2i12s2,2
81.94004865319314,12.0,base_r2s2i12s2,2
84.0383973483595,11.0,base_r2s2i12s2,2
84.0383973483595,12.0,base_r2s2i12s2,2
84.23526316117993,11.0,base_r2s2i12s2,2
84.23526316117993,12.0,base_r2s2i12s2,2
85.4672498310031,11.0,base_r2s2i12s2,2
85.4672498310031,12.0,base_r2s2i12s2,2
86.78084319505838,11.0,base_r2s2i12s2,2
86.78084319505838,12.0,base_r2s2i12s2,2
86.8501071562996,11.0,base_r2s2i12s2,2
86.8501071562996,12.0,base_r2s2i12s2,2
87.47348424656114,11.0,base_r2s2i12s2,2
87.47348424656114,12.0,base_r2s2i12s2,2
88.72782589393822,11.0,base_r2s2i12s2,2
88.72782589393822,12.0,base_r2s2i12s2,2
93.3233185057947,11.0,base_r2s2i12s2,2
93.3233185057947,12.0,base_r2s2i12s2,2
94.02556150784014,11.0,base_r2s2i12s2,2
94.02556150784014,12.0,base_r2s2i12s2,2
94.76501815949342,11.0,base_r2s2i12s2,2
94.76501815949342,12.0,base_r2s2i12s2,2
94.85966930185177,11.0,base_r2s2i12s2,2
94.85966930185177,12.0,base_r2s2i12s2,2
97.15215657639808,11.0,base_r2s2i12s2,2
97.15215657639808,12.0,base_r2s2i12s2,2
100.23153179080373,11.0,base_r2s2i12s2,2
100.23153179080373,12.0,base_r2s2i12s2,2
100.74685089893434,11.0,base_r2s2i12s2,2
100.74685089893434,12.0,base_r2s2i12s2,2
101.55620063076965,11.0,base_r2s2i12s2,2
101.55620063076965,12.0,base_r2s2i12s2,2
101.89400618278674,11.0,base_r2s2i12s2,2
101.89400618278674,12.0,base_r2s2i12s2,2
102.38699381596453,11.0,base_r2s2i12s2,2
102.38699381596453,12.0,base_r2s2i12s2,2
102.51849098666443,11.0,base_r2s2i12s2,2
102.51849098666443,12.0,base_r2s2i12s2,2
104.84139845880605,11.0,base_r2s2i12s2,2
104.84139845880605,12.0,base_r2s2i12s2,2
107.1668352909106,11.0,base_r2s2i12s2,2
107.1668352909106,12.0,base_r2s2i12s2,2
109.20594781608756,11.0,base_r2s2i12s2,2
109.20594781608756,12.0,base_r2s2i12s2,2
109.36932615641872,11.0,base_r2s2i12s2,2
109.36932615641872,12.0,base_r2s2i12s2,2
109.96385597494705,11.0,base_r2s2i12s2,2
109.96385597494705,12.0,base_r2s2i12s2,2
111.93889658028165,11.0,base_r2s2i12s2,2
111.93889658028165,12.0,base_r2s2i12s2,2
115.45053898996446,11.0,base_r2s2i12s2,2
115.45053898996446,12.0,base_r2s2i12s2,2
116.19733817075145,11.0,base_r2s2i12s2,2
116.19733817075145,12.0,base_r2s2i12s2,2
116.91379475312303,11.0,base_r2s2i12s2,2
116.91379475312303,12.0,base_r2s2i12s2,2
117.41281679819137,11.0,base_r2s2i12s2,2
117.41281679819137,12.0,base_r2s2i12s2,2
118.1209387737568,11.0,base_r2s2i12s2,2
118.1209387737568,12.0,base_r2s2i12s2,2
118.14314446253411,11.0,base_r2s2i12s2,2
118.14314446253411,12.0,base_r2s2i12s2,2
119.83681984060746,11.0,base_r2s2i12s2,2
119.83681984060746,12.0,base_r2s2i12s2,2
122.07761940529956,11.0,base_r2s2i12s2,2
122.07761940529956,12.0,base_r2s2i12s2,2
122.28460325442425,11.0,base_r2s2i12s2,2
