ts,occ
0.0,0.0
16.731136275147527,1.0
17.00598656456832,2.0
18.52445207606105,3.0
20.37493180311862,4.0
20.419313505292955,5.0
21.54234239491004,6.0
22.23636909639488,7.0
22.489806889669026,8.0
22.712923923510292,9.0
24.219026256388013,10.0
25.314130396568537,11.0
26.06411812133144,12.0
27.02167151136066,11.0
27.093632932507127,10.0
28.872892984875676,9.0
30.403427438348775,8.0
30.985502714675174,7.0
31.359589828661363,8.0
32.491276726162305,7.0
32.53630846445945,6.0
32.58652292592747,7.0
32.86684233336096,6.0
33.031725501232415,5.0
34.32729919316108,4.0
34.61103474086196,5.0
35.263500504486686,6.0
35.52568325786371,7.0
35.54143850809248,8.0
35.74796089566017,9.0
36.32075234179728,8.0
37.108980638359995,9.0
37.17814082985325,10.0
37.8991134226991,9.0
38.727569254506676,10.0
38.89231964942233,11.0
39.22109858692896,12.0
42.68853038954759,11.0
42.90935996295957,10.0
45.06183651947569,9.0
45.67247373427897,8.0
45.68186838151553,9.0
45.857716111466786,8.0
45.89095616097965,7.0
46.07836048873022,6.0
47.29135442218875,5.0
47.347715921334974,6.0
48.344562678060306,5.0
48.80560218652454,4.0
48.94309088730487,3.0
49.475124167046,4.0
49.8712623769387,3.0
49.88325457358225,4.0
49.992125509271396,5.0
50.018563263404104,6.0
50.887637178781716,7.0
51.518484898833485,8.0
52.11315105607432,9.0
52.18009741398661,10.0
52.19023759421626,11.0
53.337436149167004,12.0
56.930189370633514,11.0
57.653618820841345,10.0
60.071906288093444,9.0
60.076021439553095,8.0
60.20081185707441,7.0
60.35600309545983,8.0
61.52602560506529,7.0
61.65576028195776,6.0
61.85154826169481,5.0
62.20447214880402,4.0
62.339068618043086,3.0
62.82110404310171,4.0
62.98771750656309,3.0
63.76911680544601,2.0
64.61985380995274,3.0
64.65295502742721,4.0
65.21050681860116,5.0
65.41653846361268,6.0
65.91063154698787,7.0
65.98551443285018,8.0
66.44589364531451,9.0
67.26010876612025,10.0
68.02154449547628,11.0
68.33506542841471,12.0
70.4022595249433,11.0
73.93244348343684,10.0
74.66230151038909,11.0
74.96639962323462,10.0
75.2104514232033,9.0
75.30374758196805,8.0
75.59357082246478,7.0
76.07002781247417,6.0
76.47847517477992,5.0
76.65150707878158,4.0
77.53380210486915,5.0
77.76769911686625,4.0
78.52076836466871,3.0
78.80128847346852,2.0
78.95039790303332,3.0
79.68992346600486,4.0
79.83853190836123,5.0
80.6037542645359,6.0
80.64022290108036,7.0
81.63144182793877,8.0
81.80797092083357,9.0
81.92853063651744,10.0
82.52305870214937,11.0
82.66299134720543,12.0
85.15015845914048,11.0
88.67220467415457,10.0
89.52480316189484,11.0
89.55085743155631,10.0
90.00977569620186,9.0
90.31972578223231,8.0
90.6782613475925,7.0
91.11224789826676,6.0
91.14814194301958,7.0
91.95960928884197,6.0
92.10554878146219,5.0
92.12963798047379,4.0
92.54245049453729,3.0
92.70899640204472,4.0
92.83223673979414,3.0
93.40915616116888,4.0
93.5082066362632,5.0
94.79943166941243,6.0
95.9476139022303,7.0
96.02210856617438,8.0
96.06776291324691,9.0
97.32016584270143,10.0
97.62783987134122,11.0
97.9353580395233,12.0
99.58013801116059,11.0
102.45300183714899,10.0
102.75763696705944,9.0
103.54643228282579,8.0
104.59157629361333,7.0
104.80282464697662,8.0
105.63257488317662,7.0
106.05014989730624,8.0
106.27234633387485,7.0
106.6414430338339,6.0
107.34434041240532,5.0
107.73511756345525,6.0
107.78291532624395,7.0
107.82157770569479,6.0
108.93177370977051,5.0
109.44874466381843,6.0
109.73168991701694,5.0
110.11118404098423,6.0
110.23428930903444,7.0
111.92606397009561,8.0
112.07265551848548,9.0
112.12596592790078,10.0
113.55853451628116,11.0
113.82722964403106,12.0
115.98638866437351,11.0
116.38997965094568,10.0
117.97801719547569,9.0
118.41412794113184,8.0
119.79336385838836,7.0
119.98913665174102,8.0
120.43491213361693,7.0
121.27249355011871,6.0
122.05058218061724,7.0
122.35373747501284,6.0
122.66839617129324,7.0
122.78506978182324,8.0
123.01210317422228,7.0
123.85124582676941,6.0
124.36887648108562,5.0
124.48914097570781,6.0
124.9524907731969,5.0
124.97651231479603,6.0
125.58510538891005,7.0
126.46998952805362,8.0
127.00060914866785,9.0
127.61660342597999,10.0
