scenario,rep_num,ts,occ
base_r2s4i20s2,2,0.0,0.0
base_r2s4i20s2,2,2.636910705834654,1.0
base_r2s4i20s2,2,3.120289893838618,2.0
base_r2s4i20s2,2,4.163772149471298,3.0
base_r2s4i20s2,2,4.329074515479476,4.0
base_r2s4i20s2,2,5.129847395269611,5.0
base_r2s4i20s2,2,7.9808111351160695,6.0
base_r2s4i20s2,2,8.343911791194929,7.0
base_r2s4i20s2,2,8.625027613896023,8.0
base_r2s4i20s2,2,8.807294613641856,9.0
base_r2s4i20s2,2,10.200900916988237,10.0
base_r2s4i20s2,2,11.243471874717606,11.0
base_r2s4i20s2,2,11.469592139664705,12.0
base_r2s4i20s2,2,12.22630504052555,13.0
base_r2s4i20s2,2,12.651205603434974,14.0
base_r2s4i20s2,2,12.755858610461468,15.0
base_r2s4i20s2,2,13.648089217783859,16.0
base_r2s4i20s2,2,14.09255446242948,17.0
base_r2s4i20s2,2,14.67053663258932,18.0
base_r2s4i20s2,2,14.868490128100401,19.0
base_r2s4i20s2,2,15.805883474881998,20.0
base_r2s4i20s2,2,17.373286609782195,19.0
base_r2s4i20s2,2,17.373286609782195,20.0
base_r2s4i20s2,2,17.602095742479474,19.0
base_r2s4i20s2,2,17.602095742479474,20.0
base_r2s4i20s2,2,18.33431910510918,19.0
base_r2s4i20s2,2,18.33431910510918,20.0
base_r2s4i20s2,2,18.582696363146482,19.0
base_r2s4i20s2,2,18.582696363146482,20.0
base_r2s4i20s2,2,19.014727471259217,19.0
base_r2s4i20s2,2,19.014727471259217,20.0
base_r2s4i20s2,2,21.394592393956707,19.0
base_r2s4i20s2,2,21.394592393956707,20.0
base_r2s4i20s2,2,23.615117428366013,19.0
base_r2s4i20s2,2,23.615117428366013,20.0
base_r2s4i20s2,2,23.909735275560763,19.0
base_r2s4i20s2,2,23.909735275560763,20.0
base_r2s4i20s2,2,24.200737891494526,19.0
base_r2s4i20s2,2,24.200737891494526,20.0
base_r2s4i20s2,2,24.34776137867741,19.0
base_r2s4i20s2,2,24.34776137867741,20.0
base_r2s4i20s2,2,24.898826648517137,19.0
base_r2s4i20s2,2,24.898826648517137,20.0
base_r2s4i20s2,2,26.67866170840975,19.0
base_r2s4i20s2,2,26.67866170840975,20.0
base_r2s4i20s2,2,26.98832903161133,19.0
base_r2s4i20s2,2,26.98832903161133,20.0
base_r2s4i20s2,2,27.081595826602722,19.0
base_r2s4i20s2,2,27.081595826602722,20.0
base_r2s4i20s2,2,28.775070507060256,19.0
base_r2s4i20s2,2,28.775070507060256,20.0
base_r2s4i20s2,2,28.860079735774583,19.0
base_r2s4i20s2,2,28.860079735774583,20.0
base_r2s4i20s2,2,28.931690253965172,19.0
base_r2s4i20s2,2,28.931690253965172,20.0
base_r2s4i20s2,2,28.932819677122872,19.0
base_r2s4i20s2,2,28.932819677122872,20.0
base_r2s4i20s2,2,29.803541963477926,19.0
base_r2s4i20s2,2,29.803541963477926,20.0
base_r2s4i20s2,2,30.08064030937104,19.0
base_r2s4i20s2,2,30.08064030937104,20.0
base_r2s4i20s2,2,32.95813422723498,19.0
base_r2s4i20s2,2,32.95813422723498,20.0
base_r2s4i20s2,2,33.30774184640541,19.0
base_r2s4i20s2,2,33.30774184640541,20.0
base_r2s4i20s2,2,33.85779030380013,19.0
base_r2s4i20s2,2,33.85779030380013,20.0
base_r2s4i20s2,2,35.0398032510047,19.0
base_r2s4i20s2,2,35.0398032510047,20.0
base_r2s4i20s2,2,35.22262188882514,19.0
base_r2s4i20s2,2,35.22262188882514,20.0
base_r2s4i20s2,2,37.36845719120084,19.0
