scenario,rep_num,ts,occ
base_r2s4i18s2,2,0.0,0.0
base_r2s4i18s2,2,2.636910705834654,1.0
base_r2s4i18s2,2,3.120289893838618,2.0
base_r2s4i18s2,2,4.163772149471298,3.0
base_r2s4i18s2,2,4.329074515479476,4.0
base_r2s4i18s2,2,5.129847395269611,5.0
base_r2s4i18s2,2,7.9808111351160695,6.0
base_r2s4i18s2,2,8.343911791194929,7.0
base_r2s4i18s2,2,8.625027613896023,8.0
base_r2s4i18s2,2,8.807294613641856,9.0
base_r2s4i18s2,2,10.200900916988237,10.0
base_r2s4i18s2,2,11.243471874717606,11.0
base_r2s4i18s2,2,11.469592139664705,12.0
base_r2s4i18s2,2,12.22630504052555,13.0
base_r2s4i18s2,2,12.651205603434974,14.0
base_r2s4i18s2,2,12.755858610461468,15.0
base_r2s4i18s2,2,13.648089217783859,16.0
base_r2s4i18s2,2,14.09255446242948,17.0
base_r2s4i18s2,2,14.67053663258932,18.0
base_r2s4i18s2,2,17.373286609782195,17.0
base_r2s4i18s2,2,17.373286609782195,18.0
base_r2s4i18s2,2,17.602095742479474,17.0
base_r2s4i18s2,2,17.602095742479474,18.0
base_r2s4i18s2,2,18.33431910510918,17.0
base_r2s4i18s2,2,18.33431910510918,18.0
base_r2s4i18s2,2,18.582696363146482,17.0
base_r2s4i18s2,2,18.582696363146482,18.0
base_r2s4i18s2,2,19.014727471259217,17.0
base_r2s4i18s2,2,19.014727471259217,18.0
base_r2s4i18s2,2,21.394592393956707,17.0
base_r2s4i18s2,2,21.394592393956707,18.0
base_r2s4i18s2,2,23.615117428366013,17.0
base_r2s4i18s2,2,23.615117428366013,18.0
base_r2s4i18s2,2,23.909735275560763,17.0
base_r2s4i18s2,2,23.909735275560763,18.0
base_r2s4i18s2,2,24.200737891494526,17.0
base_r2s4i18s2,2,24.200737891494526,18.0
base_r2s4i18s2,2,24.34776137867741,17.0
base_r2s4i18s2,2,24.34776137867741,18.0
base_r2s4i18s2,2,24.898826648517137,17.0
base_r2s4i18s2,2,24.898826648517137,18.0
base_r2s4i18s2,2,26.67866170840975,17.0
base_r2s4i18s2,2,26.67866170840975,18.0
base_r2s4i18s2,2,26.98832903161133,17.0
base_r2s4i18s2,2,26.98832903161133,18.0
base_r2s4i18s2,2,27.081595826602722,17.0
base_r2s4i18s2,2,27.081595826602722,18.0
base_r2s4i18s2,2,28.775070507060256,17.0
base_r2s4i18s2,2,28.775070507060256,18.0
base_r2s4i18s2,2,28.860079735774583,17.0
base_r2s4i18s2,2,28.860079735774583,18.0
base_r2s4i18s2,2,28.931690253965172,17.0
base_r2s4i18s2,2,28.931690253965172,18.0
base_r2s4i18s2,2,29.803541963477926,17.0
base_r2s4i18s2,2,29.803541963477926,18.0
base_r2s4i18s2,2,32.7938060866242,17.0
base_r2s4i18s2,2,32.7938060866242,18.0
base_r2s4i18s2,2,33.29188482548316,17.0
base_r2s4i18s2,2,33.29188482548316,18.0
base_r2s4i18s2,2,33.77435209633956,17.0
base_r2s4i18s2,2,33.77435209633956,18.0
base_r2s4i18s2,2,34.2194456394088,17.0
base_r2s4i18s2,2,34.2194456394088,18.0
base_r2s4i18s2,2,35.288180509042,17.0
base_r2s4i18s2,2,35.288180509042,18.0
base_r2s4i18s2,2,37.22973592948237,17.0
base_r2s4i18s2,2,37.22973592948237,18.0
base_r2s4i18s2,2,37.81556808411209,17.0
base_r2s4i18s2,2,37.81556808411209,18.0
base_r2s4i18s2,2,37.94361333978481,17.0
base_r2s4i18s2,2,37.94361333978481,18.0
base_r2s4i18s2,2,38.6242430659984,17.0
base_r2s4i18s2,2,38.6242430659984,18.0
base_r2s4i18s2,2,39.68956003728318,17.0
base_r2s4i18s2,2,39.68956003728318,18.0
base_r2s4i18s2,2,40.72711648439859,17.0
base_r2s4i18s2,2,40.72711648439859,18.0
base_r2s4i18s2,2,41.86693908522622,17.0
base_r2s4i18s2,2,41.86693908522622,18.0
base_r2s4i18s2,2,42.1110222148679,17.0
base_r2s4i18s2,2,42.1110222148679,18.0
base_r2s4i18s2,2,42.357872019015836,17.0
base_r2s4i18s2,2,42.357872019015836,18.0
base_r2s4i18s2,2,44.95312822654212,17.0
base_r2s4i18s2,2,44.95312822654212,18.0
base_r2s4i18s2,2,45.00781006804104,17.0
base_r2s4i18s2,2,45.00781006804104,18.0
base_r2s4i18s2,2,45.34622023259172,17.0
base_r2s4i18s2,2,45.34622023259172,18.0
base_r2s4i18s2,2,45.44803946877914,17.0
base_r2s4i18s2,2,45.44803946877914,18.0
base_r2s4i18s2,2,45.62465601592918,17.0
base_r2s4i18s2,2,45.62465601592918,18.0
base_r2s4i18s2,2,49.248697503980964,17.0
base_r2s4i18s2,2,49.248697503980964,18.0
base_r2s4i18s2,2,49.37960841519639,17.0
base_r2s4i18s2,2,49.37960841519639,18.0
base_r2s4i18s2,2,49.52313685704654,17.0
base_r2s4i18s2,2,49.52313685704654,18.0
base_r2s4i18s2,2,49.826640317851755,17.0
base_r2s4i18s2,2,49.826640317851755,18.0
base_r2s4i18s2,2,51.68173129555207,17.0
base_r2s4i18s2,2,51.68173129555207,18.0
base_r2s4i18s2,2,53.09830755782512,17.0
base_r2s4i18s2,2,53.09830755782512,18.0
base_r2s4i18s2,2,53.53301685053921,17.0
base_r2s4i18s2,2,53.53301685053921,18.0
base_r2s4i18s2,2,53.71076417890746,17.0
base_r2s4i18s2,2,53.71076417890746,18.0
base_r2s4i18s2,2,54.94178992783817,17.0
base_r2s4i18s2,2,54.94178992783817,18.0
base_r2s4i18s2,2,55.97157508954262,17.0
base_r2s4i18s2,2,55.97157508954262,18.0
base_r2s4i18s2,2,56.136630838733204,17.0
base_r2s4i18s2,2,56.136630838733204,18.0
base_r2s4i18s2,2,56.403898017827615,17.0
base_r2s4i18s2,2,56.403898017827615,18.0
base_r2s4i18s2,2,57.05600248178053,17.0
base_r2s4i18s2,2,57.05600248178053,18.0
base_r2s4i18s2,2,59.4639984086283,17.0
base_r2s4i18s2,2,59.4639984086283,18.0
base_r2s4i18s2,2,59.57521172813833,17.0
base_r2s4i18s2,2,59.57521172813833,18.0
base_r2s4i18s2,2,61.2442472631992,17.0
base_r2s4i18s2,2,61.2442472631992,18.0
base_r2s4i18s2,2,61.52668023182552,17.0
base_r2s4i18s2,2,61.52668023182552,18.0
base_r2s4i18s2,2,62.49633165303494,17.0
base_r2s4i18s2,2,62.49633165303494,18.0
base_r2s4i18s2,2,63.39111448161962,17.0
base_r2s4i18s2,2,63.39111448161962,18.0
base_r2s4i18s2,2,64.797535973637,17.0
base_r2s4i18s2,2,64.797535973637,18.0
base_r2s4i18s2,2,65.04110958941564,17.0
base_r2s4i18s2,2,65.04110958941564,18.0
base_r2s4i18s2,2,65.40671111151883,17.0
base_r2s4i18s2,2,65.40671111151883,18.0
base_r2s4i18s2,2,66.78002637328561,17.0
base_r2s4i18s2,2,66.78002637328561,18.0
base_r2s4i18s2,2,67.84884427425196,17.0
base_r2s4i18s2,2,67.84884427425196,18.0
base_r2s4i18s2,2,68.22770762397558,17.0
base_r2s4i18s2,2,68.22770762397558,18.0
base_r2s4i18s2,2,68.59326330706634,17.0
base_r2s4i18s2,2,68.59326330706634,18.0
base_r2s4i18s2,2,71.08075395779713,17.0
base_r2s4i18s2,2,71.08075395779713,18.0
base_r2s4i18s2,2,71.32626698738287,17.0
base_r2s4i18s2,2,71.32626698738287,18.0
base_r2s4i18s2,2,71.3836546338972,17.0
base_r2s4i18s2,2,71.3836546338972,18.0
base_r2s4i18s2,2,71.86336803663514,17.0
base_r2s4i18s2,2,71.86336803663514,18.0
base_r2s4i18s2,2,72.65757912261499,17.0
base_r2s4i18s2,2,72.65757912261499,18.0
base_r2s4i18s2,2,73.98600769522201,17.0
base_r2s4i18s2,2,73.98600769522201,18.0
base_r2s4i18s2,2,75.26603040593221,17.0
base_r2s4i18s2,2,75.26603040593221,18.0
base_r2s4i18s2,2,75.82745148501195,17.0
base_r2s4i18s2,2,75.82745148501195,18.0
base_r2s4i18s2,2,76.9071146237457,17.0
base_r2s4i18s2,2,76.9071146237457,18.0
base_r2s4i18s2,2,78.19052612277788,17.0
base_r2s4i18s2,2,78.19052612277788,18.0
base_r2s4i18s2,2,79.23290167913137,17.0
base_r2s4i18s2,2,79.23290167913137,18.0
base_r2s4i18s2,2,79.96243188295941,17.0
base_r2s4i18s2,2,79.96243188295941,18.0
base_r2s4i18s2,2,81.25310657271324,17.0
base_r2s4i18s2,2,81.25310657271324,18.0
base_r2s4i18s2,2,81.52476931833533,17.0
base_r2s4i18s2,2,81.52476931833533,18.0
base_r2s4i18s2,2,81.98699968925227,17.0
base_r2s4i18s2,2,81.98699968925227,18.0
base_r2s4i18s2,2,83.43981554718052,17.0
base_r2s4i18s2,2,83.43981554718052,18.0
base_r2s4i18s2,2,83.55579583197488,17.0
base_r2s4i18s2,2,83.55579583197488,18.0
base_r2s4i18s2,2,83.58440035768866,17.0
base_r2s4i18s2,2,83.58440035768866,18.0
base_r2s4i18s2,2,84.88808662768302,17.0
base_r2s4i18s2,2,84.88808662768302,18.0
base_r2s4i18s2,2,85.91957954295965,17.0
base_r2s4i18s2,2,85.91957954295965,18.0
base_r2s4i18s2,2,86.46188067104836,17.0
base_r2s4i18s2,2,86.46188067104836,18.0
base_r2s4i18s2,2,88.0707602948302,17.0
base_r2s4i18s2,2,88.0707602948302,18.0
base_r2s4i18s2,2,88.53369702553756,17.0
base_r2s4i18s2,2,88.53369702553756,18.0
base_r2s4i18s2,2,88.98409787489118,17.0
base_r2s4i18s2,2,88.98409787489118,18.0
base_r2s4i18s2,2,89.03661391137284,17.0
base_r2s4i18s2,2,89.03661391137284,18.0
base_r2s4i18s2,2,90.7506314088616,17.0
base_r2s4i18s2,2,90.7506314088616,18.0
base_r2s4i18s2,2,92.27104657346955,17.0
base_r2s4i18s2,2,92.27104657346955,18.0
base_r2s4i18s2,2,92.99909647342383,17.0
base_r2s4i18s2,2,92.99909647342383,18.0
base_r2s4i18s2,2,95.40960654266343,17.0
base_r2s4i18s2,2,95.40960654266343,18.0
base_r2s4i18s2,2,96.06098676745965,17.0
base_r2s4i18s2,2,96.06098676745965,18.0
base_r2s4i18s2,2,96.40162430318138,17.0
base_r2s4i18s2,2,96.40162430318138,18.0
base_r2s4i18s2,2,96.97634310964935,17.0
base_r2s4i18s2,2,96.97634310964935,18.0
base_r2s4i18s2,2,97.12664401851615,17.0
base_r2s4i18s2,2,97.12664401851615,18.0
base_r2s4i18s2,2,97.80390821148207,17.0
base_r2s4i18s2,2,97.80390821148207,18.0
base_r2s4i18s2,2,98.76591571665854,17.0
base_r2s4i18s2,2,98.76591571665854,18.0
base_r2s4i18s2,2,99.67108054487404,17.0
base_r2s4i18s2,2,99.67108054487404,18.0
base_r2s4i18s2,2,100.70630359790191,17.0
base_r2s4i18s2,2,100.70630359790191,18.0
base_r2s4i18s2,2,100.87244222910975,17.0
base_r2s4i18s2,2,100.87244222910975,18.0
base_r2s4i18s2,2,101.45730205284977,17.0
base_r2s4i18s2,2,101.45730205284977,18.0
base_r2s4i18s2,2,102.41612558093234,17.0
base_r2s4i18s2,2,102.41612558093234,18.0
base_r2s4i18s2,2,103.91698395699254,17.0
base_r2s4i18s2,2,103.91698395699254,18.0
base_r2s4i18s2,2,104.45576702683942,17.0
base_r2s4i18s2,2,104.45576702683942,18.0
base_r2s4i18s2,2,104.8828412175232,17.0
base_r2s4i18s2,2,104.8828412175232,18.0
base_r2s4i18s2,2,107.36238454892522,17.0
base_r2s4i18s2,2,107.36238454892522,18.0
base_r2s4i18s2,2,107.98946998337881,17.0
base_r2s4i18s2,2,107.98946998337881,18.0
base_r2s4i18s2,2,108.56476964499267,17.0
base_r2s4i18s2,2,108.56476964499267,18.0
base_r2s4i18s2,2,109.13234780346535,17.0
base_r2s4i18s2,2,109.13234780346535,18.0
base_r2s4i18s2,2,109.83025774641065,17.0
base_r2s4i18s2,2,109.83025774641065,18.0
base_r2s4i18s2,2,111.71566905320363,17.0
base_r2s4i18s2,2,111.71566905320363,18.0
base_r2s4i18s2,2,112.11062307942436,17.0
base_r2s4i18s2,2,112.11062307942436,18.0
base_r2s4i18s2,2,112.82610682108842,17.0
base_r2s4i18s2,2,112.82610682108842,18.0
base_r2s4i18s2,2,113.04167571309083,17.0
base_r2s4i18s2,2,113.04167571309083,18.0
base_r2s4i18s2,2,113.48526680616048,17.0
base_r2s4i18s2,2,113.48526680616048,18.0
base_r2s4i18s2,2,114.30522538209985,17.0
base_r2s4i18s2,2,114.30522538209985,18.0
base_r2s4i18s2,2,114.88388893354559,17.0
base_r2s4i18s2,2,114.88388893354559,18.0
base_r2s4i18s2,2,115.09689648307521,17.0
base_r2s4i18s2,2,115.09689648307521,18.0
base_r2s4i18s2,2,115.20408184738648,17.0
base_r2s4i18s2,2,115.20408184738648,18.0
base_r2s4i18s2,2,117.65531939250413,17.0
base_r2s4i18s2,2,117.65531939250413,18.0
base_r2s4i18s2,2,119.41819188969737,17.0
base_r2s4i18s2,2,119.41819188969737,18.0
base_r2s4i18s2,2,119.83268432202325,17.0
base_r2s4i18s2,2,119.83268432202325,18.0
base_r2s4i18s2,2,120.7868669683667,17.0
base_r2s4i18s2,2,120.7868669683667,18.0
base_r2s4i18s2,2,122.08752175883231,17.0
base_r2s4i18s2,2,122.08752175883231,18.0
base_r2s4i18s2,2,122.81026820903614,17.0
base_r2s4i18s2,2,122.81026820903614,18.0
base_r2s4i18s2,2,122.94479033514315,17.0
base_r2s4i18s2,2,122.94479033514315,18.0
base_r2s4i18s2,2,123.64908146353145,17.0
base_r2s4i18s2,2,123.64908146353145,18.0
base_r2s4i18s2,2,125.10580579102214,17.0
base_r2s4i18s2,2,125.10580579102214,18.0
base_r2s4i18s2,2,125.22168540800176,17.0
base_r2s4i18s2,2,125.22168540800176,18.0
base_r2s4i18s2,2,126.45197058179241,17.0
base_r2s4i18s2,2,126.45197058179241,18.0
base_r2s4i18s2,2,128.39232467328372,17.0
base_r2s4i18s2,2,128.39232467328372,18.0
base_r2s4i18s2,2,129.03097107026832,17.0
base_r2s4i18s2,2,129.03097107026832,18.0
base_r2s4i18s2,2,129.31731224166094,17.0
base_r2s4i18s2,2,129.31731224166094,18.0
base_r2s4i18s2,2,129.50250702386222,17.0
base_r2s4i18s2,2,129.50250702386222,18.0
base_r2s4i18s2,2,130.02450688853855,17.0
base_r2s4i18s2,2,130.02450688853855,18.0
base_r2s4i18s2,2,130.18019277835043,17.0
base_r2s4i18s2,2,130.18019277835043,18.0
base_r2s4i18s2,2,130.75482951056264,17.0
base_r2s4i18s2,2,130.75482951056264,18.0
base_r2s4i18s2,2,131.9184675790346,17.0
base_r2s4i18s2,2,131.9184675790346,18.0
base_r2s4i18s2,2,134.36053913812054,17.0
base_r2s4i18s2,2,134.36053913812054,18.0
base_r2s4i18s2,2,134.38840476384377,17.0
base_r2s4i18s2,2,134.38840476384377,18.0
base_r2s4i18s2,2,136.6774172788588,17.0
base_r2s4i18s2,2,136.6774172788588,18.0
base_r2s4i18s2,2,136.73889166076745,17.0
base_r2s4i18s2,2,136.73889166076745,18.0
base_r2s4i18s2,2,136.85409402026582,17.0
base_r2s4i18s2,2,136.85409402026582,18.0
base_r2s4i18s2,2,137.1958564327031,17.0
base_r2s4i18s2,2,137.1958564327031,18.0
base_r2s4i18s2,2,138.81864180271668,17.0
base_r2s4i18s2,2,138.81864180271668,18.0
base_r2s4i18s2,2,139.61596847304008,17.0
base_r2s4i18s2,2,139.61596847304008,18.0
base_r2s4i18s2,2,140.09791961426546,17.0
base_r2s4i18s2,2,140.09791961426546,18.0
base_r2s4i18s2,2,140.22776968217573,17.0
base_r2s4i18s2,2,140.22776968217573,18.0
base_r2s4i18s2,2,141.74839984445666,17.0
base_r2s4i18s2,2,141.74839984445666,18.0
base_r2s4i18s2,2,143.3229936586155,17.0
base_r2s4i18s2,2,143.3229936586155,18.0
base_r2s4i18s2,2,144.02144168480748,17.0
base_r2s4i18s2,2,144.02144168480748,18.0
base_r2s4i18s2,2,144.1268787486034,17.0
base_r2s4i18s2,2,144.1268787486034,18.0
base_r2s4i18s2,2,144.4360539208798,17.0
base_r2s4i18s2,2,144.4360539208798,18.0
base_r2s4i18s2,2,145.21202154206478,17.0
base_r2s4i18s2,2,145.21202154206478,18.0
base_r2s4i18s2,2,146.83024161694638,17.0
base_r2s4i18s2,2,146.83024161694638,18.0
base_r2s4i18s2,2,147.70991976149114,17.0
base_r2s4i18s2,2,147.70991976149114,18.0
base_r2s4i18s2,2,148.83127122742366,17.0
base_r2s4i18s2,2,148.83127122742366,18.0
base_r2s4i18s2,2,149.41879148576845,17.0
base_r2s4i18s2,2,149.41879148576845,18.0
base_r2s4i18s2,2,149.9822932194133,17.0
base_r2s4i18s2,2,149.9822932194133,18.0
base_r2s4i18s2,2,151.46092270373245,17.0
base_r2s4i18s2,2,151.46092270373245,18.0
base_r2s4i18s2,2,151.71324455204237,17.0
