candidate_id,arrival_ts,got_reg_ts,release_reg_ts,got_screening_staff_ts,release_screening_staff_ts,got_interviewer_ts,release_interviewer_ts,got_scheduler_ts,release_scheduler_ts,exit_system_ts
2,0.2856014224683949,0.2856014224683949,0.3774040827315171,0.3774040827315171,2.6659559783601425,2.6659559783601425,17.00598656456832,17.00598656456832,17.32386514285011,27.02167151136066
3,0.4087876006552515,0.4087876006552515,0.5634205084011155,0.5634205084011155,2.402225950321635,2.402225950321635,16.731136275147527,,,27.093632932507127
1,0.23878899804906073,0.23878899804906073,0.49058369754229914,0.49058369754229914,2.332285971959391,2.332285971959391,18.52445207606105,,,28.872892984875676
5,2.479921559315333,2.479921559315333,3.289068407060935,3.289068407060935,5.66645322921706,5.66645322921706,20.37493180311862,20.37493180311862,21.623461708158988,30.403427438348775
4,2.124174940967207,2.124174940967207,2.488916895803887,2.488916895803887,5.254933435618286,5.254933435618286,20.419313505292955,,,30.985502714675174
6,2.7838304779776957,2.7838304779776957,3.060747139103701,3.060747139103701,5.47470785988307,5.47470785988307,22.23636909639488,,,32.491276726162305
7,2.9854128874616004,3.060747139103701,4.593130851099051,5.47470785988307,7.971369747858976,7.971369747858976,22.489806889669026,,,32.53630846445945
9,3.5844943800491187,3.5844943800491187,4.90419894341704,5.66645322921706,8.030517008161631,8.030517008161631,21.54234239491004,21.54234239491004,22.55589828061698,32.86684233336096
8,3.1366717289746044,3.289068407060935,3.3229179816002805,5.254933435618286,7.684874027924654,7.684874027924654,22.712923923510292,,,33.031725501232415
12,4.817461044671384,4.994840398249744,7.233575244916984,7.971369747858976,9.679665997626916,9.679665997626916,24.219026256388013,24.219026256388013,25.136859604506316,34.32729919316108
11,4.555721744127334,4.90419894341704,4.994840398249744,7.684874027924654,9.699010089294523,9.699010089294523,26.06411812133144,26.06411812133144,27.174041588269017,36.32075234179728
13,5.0709753159769955,7.233575244916984,7.4593157611447145,8.030517008161631,10.138670424716237,10.138670424716237,25.314130396568537,25.314130396568537,26.274413743303413,37.8991134226991
10,4.175283926682518,4.593130851099051,8.19106002348834,9.679665997626916,10.961531123114444,16.731136275147527,32.58652292592747,,,42.68853038954759
14,6.125721852957706,7.4593157611447145,8.485125785157596,9.699010089294523,11.918510033073257,17.00598656456832,31.359589828661363,,,42.90935996295957
18,7.2804684375294455,9.161681023711722,9.538292247638532,11.918510033073257,13.794080679357787,21.54234239491004,34.61103474086196,34.61103474086196,35.58945716172304,45.06183651947569
16,6.523678803255159,8.485125785157596,8.948910613493288,10.138670424716237,11.91944178840837,18.52445207606105,35.52568325786371,,,45.67247373427897
15,6.486887246789537,8.19106002348834,9.161681023711722,10.961531123114444,12.855712406427104,20.37493180311862,35.54143850809248,,,45.857716111466786
19,7.292784987939157,9.538292247638532,11.494810740205244,12.855712406427104,14.742461982237518,22.23636909639488,35.74796089566017,,,45.89095616097965
17,7.224214723585048,8.948910613493288,9.965830705698401,11.91944178840837,13.669567492841615,20.419313505292955,35.263500504486686,35.263500504486686,36.45867174411502,46.07836048873022
20,7.311868534822847,9.965830705698401,11.852727082748986,13.794080679357787,15.657644794463133,22.712923923510292,37.17814082985325,37.17814082985325,38.488319197236756,47.29135442218875
21,7.558321231020964,11.494810740205244,11.56314138120191,13.669567492841615,15.527881889529521,22.489806889669026,37.108980638359995,37.108980638359995,38.08508902182135,48.344562678060306
25,10.063518590073187,12.171926771538184,13.980571150348059,16.131289181134232,17.982657883314605,26.06411812133144,38.727569254506676,,,48.80560218652454
22,7.71414888355339,11.56314138120191,12.063582370406412,14.742461982237518,16.131289181134232,24.219026256388013,38.89231964942233,,,48.94309088730487
24,9.368057344131804,12.063582370406412,12.171926771538184,15.527881889529521,17.26999809302289,25.314130396568537,39.22109858692896,,,49.8712623769387
23,7.9843459120245,11.852727082748986,13.29234202647252,15.657644794463133,18.486701453614877,31.359589828661363,45.68186838151553,45.68186838151553,46.46273967391293,56.930189370633514
26,11.752990722451585,13.29234202647252,14.01167007096866,17.26999809302289,18.848392545053173,32.58652292592747,47.347715921334974,47.347715921334974,48.30603299464258,57.653618820841345
32,14.05292054357628,14.912091658493603,16.411755394437517,20.64395319974232,22.36389826615819,35.74796089566017,49.992125509271396,49.992125509271396,50.665482996901034,60.071906288093444
28,12.042395944725675,14.01167007096866,14.86062945533388,18.848392545053173,20.495542223013878,35.263500504486686,49.88325457358225,,,60.076021439553095
29,12.207859114781124,14.167333181027429,14.587362831052491,18.486701453614877,20.64395319974232,35.52568325786371,49.475124167046,,,60.20081185707441
27,12.034498236934825,13.980571150348059,14.167333181027429,17.982657883314605,19.85475179559453,34.61103474086196,50.018563263404104,50.018563263404104,50.30203315789801,61.52602560506529
30,12.600372871822897,14.587362831052491,14.912091658493603,19.85475179559453,22.028488118622022,35.54143850809248,51.518484898833485,51.518484898833485,52.42739214093952,61.65576028195776
33,14.332020178352423,16.25641409620555,16.69044428549523,22.028488118622022,24.138653252649686,37.17814082985325,50.887637178781716,,,61.85154826169481
31,13.739194328597002,14.86062945533388,16.25641409620555,20.495542223013878,22.54564966797959,37.108980638359995,52.18009741398661,52.18009741398661,53.143423698577934,62.20447214880402
34,14.637383521838476,16.411755394437517,18.292061814336797,24.138653252649686,25.738851279293414,39.22109858692896,52.19023759421626,,,62.339068618043086
36,14.800234502414932,16.90031413016604,17.338653128529042,22.54564966797959,25.04590304365795,38.89231964942233,52.11315105607432,,,62.98771750656309
35,14.750744521432452,16.69044428549523,16.90031413016604,22.36389826615819,24.67615365563267,38.727569254506676,53.337436149167004,,,63.76911680544601
