scenario,rep_num,candidate_id,arrival_ts,got_reg_ts,release_reg_ts,got_screening_staff_ts,release_screening_staff_ts,got_interviewer_ts,release_interviewer_ts,got_scheduler_ts,release_scheduler_ts,exit_system_ts,wait_for_reg,wait_for_screening_staff,wait_for_interviewer,interview_time,wait_for_scheduler,post_int_time,time_in_system
base_r3s4i18s2,1,2,0.2380011853903291,0.2380011853903291,0.3298038456534513,0.3298038456534513,2.618355741282077,2.618355741282077,15.410884643082271,,,30.451321660259485,0.0,0.0,0.0,12.792528901800196,,15.040437017177211,30.21332047486916
base_r3s4i18s2,1,1,0.1989908317075506,0.1989908317075506,0.450785531200789,0.450785531200789,2.292487805617881,2.292487805617881,17.428808929470996,17.428808929470996,18.37965350798458,32.67246092505549,0.0,0.0,0.0,15.136321123853117,0.0,15.243651995584491,32.47347009334794
base_r3s4i18s2,1,3,0.3406563338793762,0.3406563338793762,0.4952892416252402,0.4952892416252402,2.3340946835457603,2.3340946835457603,18.86612776317456,18.86612776317456,19.775385966257893,34.15649737872141,0.0,0.0,0.0,16.532033079628796,0.0,15.290369615546854,33.81584104484204
base_r3s4i18s2,1,7,2.778029099357432,2.778029099357432,4.310412811352782,4.635022448805749,6.48926173575653,6.48926173575653,20.00108712250494,,,35.166997490162295,0.0,0.3246096374529674,0.0,13.511825386748413,,15.165910367657354,32.38896839080486
base_r3s4i18s2,1,4,1.7701457841393389,1.7701457841393389,2.134887738976019,2.134887738976019,4.635022448805749,4.635022448805749,20.62834622475756,20.62834622475756,21.58254009172398,35.66959739123925,0.0,0.0,0.0,15.993323775951811,0.0,15.04125116648169,33.89945160709991
base_r3s4i18s2,1,5,2.066601299429444,2.066601299429444,2.5348360240484817,2.5348360240484817,4.204851317152571,4.204851317152571,19.36923138682724,19.36923138682724,20.27552471030908,35.75491453074636,0.0,0.0,0.0,15.164380069674667,0.0,16.385683143919124,33.68831323131692
base_r3s4i18s2,1,6,2.6100437581208444,2.6100437581208444,2.88696041924685,2.88696041924685,5.450363815879364,5.450363815879364,19.81130371544716,19.81130371544716,20.577648828764683,36.11163129546665,0.0,0.0,0.0,14.360939899567796,0.0,16.30032758001949,33.501587537345806
base_r3s4i18s2,1,8,2.971187670913649,2.971187670913649,3.005037245452995,3.005037245452995,5.645988358982852,5.645988358982852,19.92780721110225,20.27552471030908,21.13834578935455,37.65984155455901,0.0,0.0,0.0,14.281818852119404,0.3477174992068228,17.732034343456753,34.68865388364536
base_r3s4i18s2,1,11,3.745550328877983,4.038627267580676,6.675493610032452,7.419683152069177,9.63918309584791,9.63918309584791,23.644051735877863,23.644051735877863,24.56561390168126,38.97979592987862,0.293076938702693,0.7441895420367253,0.0,14.004868640029956,0.0,15.335744194000752,35.23424560100064
base_r3s4i18s2,1,12,3.95681222163266,4.310412811352782,5.336500519361477,5.450363815879364,7.419683152069177,7.419683152069177,23.78479118410609,,,39.01740788673319,0.3536005897201222,0.113863296517886,0.0,16.365108032036918,,15.232616702627094,35.06059566510053
base_r3s4i18s2,1,14,4.733270988799307,5.477134804222472,5.524843671431697,6.48926173575653,8.597415152311136,8.597415152311136,23.69701265423316,23.92587379921952,24.979374396560925,39.112880547774594,0.7438638154231647,0.9644180643248336,0.0,15.09959750192202,0.2288611449863644,15.41586789354144,34.37960955897529
base_r3s4i18s2,1,13,3.987026039910228,5.336500519361477,5.477134804222472,5.645988358982852,7.662292230561336,7.662292230561336,22.83775220241364,22.83775220241364,23.92587379921952,39.34519978827385,1.3494744794512497,0.1688535547603793,0.0,15.175459971852304,0.0,16.507447585860213,35.358173748363626
