ts,occ
0.0,0.0
2.332285971959391,1.0
2.402225950321635,2.0
2.6659559783601425,3.0
5.254933435618286,4.0
5.47470785988307,5.0
5.66645322921706,6.0
7.684874027924654,7.0
7.971369747858976,8.0
8.030517008161631,9.0
9.679665997626916,10.0
9.699010089294523,11.0
10.138670424716237,12.0
16.731136275147527,11.0
16.731136275147527,12.0
17.00598656456832,11.0
17.00598656456832,12.0
18.52445207606105,11.0
18.52445207606105,12.0
20.37493180311862,11.0
20.37493180311862,12.0
20.419313505292955,11.0
20.419313505292955,12.0
21.54234239491004,11.0
21.54234239491004,12.0
22.23636909639488,11.0
22.23636909639488,12.0
22.489806889669026,11.0
22.489806889669026,12.0
22.712923923510292,11.0
22.712923923510292,12.0
24.219026256388013,11.0
24.219026256388013,12.0
25.314130396568537,11.0
25.314130396568537,12.0
26.06411812133144,11.0
26.06411812133144,12.0
31.359589828661363,11.0
31.359589828661363,12.0
32.58652292592747,11.0
32.58652292592747,12.0
34.61103474086196,11.0
34.61103474086196,12.0
35.263500504486686,11.0
35.263500504486686,12.0
35.52568325786371,11.0
35.52568325786371,12.0
35.54143850809248,11.0
35.54143850809248,12.0
35.74796089566017,11.0
35.74796089566017,12.0
37.108980638359995,11.0
37.108980638359995,12.0
37.17814082985325,11.0
37.17814082985325,12.0
38.727569254506676,11.0
38.727569254506676,12.0
38.89231964942233,11.0
38.89231964942233,12.0
39.22109858692896,11.0
39.22109858692896,12.0
45.68186838151553,11.0
45.68186838151553,12.0
47.347715921334974,11.0
47.347715921334974,12.0
49.475124167046,11.0
49.475124167046,12.0
49.88325457358225,11.0
49.88325457358225,12.0
49.992125509271396,11.0
49.992125509271396,12.0
50.018563263404104,11.0
50.018563263404104,12.0
50.887637178781716,11.0
50.887637178781716,12.0
51.518484898833485,11.0
51.518484898833485,12.0
52.11315105607432,11.0
52.11315105607432,12.0
52.18009741398661,11.0
52.18009741398661,12.0
52.19023759421626,11.0
52.19023759421626,12.0
53.337436149167004,11.0
53.337436149167004,12.0
60.35600309545983,11.0
60.35600309545983,12.0
62.82110404310171,11.0
62.82110404310171,12.0
64.61985380995274,11.0
64.61985380995274,12.0
64.65295502742721,11.0
64.65295502742721,12.0
65.21050681860116,11.0
65.21050681860116,12.0
65.41653846361268,11.0
65.41653846361268,12.0
65.91063154698787,11.0
65.91063154698787,12.0
65.98551443285018,11.0
65.98551443285018,12.0
66.44589364531451,11.0
66.44589364531451,12.0
67.26010876612025,11.0
67.26010876612025,12.0
68.02154449547628,11.0
68.02154449547628,12.0
68.33506542841471,11.0
68.33506542841471,12.0
74.66230151038909,11.0
74.66230151038909,12.0
77.53380210486915,11.0
77.53380210486915,12.0
78.95039790303332,11.0
78.95039790303332,12.0
79.68992346600486,11.0
79.68992346600486,12.0
79.83853190836123,11.0
79.83853190836123,12.0
80.6037542645359,11.0
80.6037542645359,12.0
80.64022290108036,11.0
80.64022290108036,12.0
81.63144182793877,11.0
81.63144182793877,12.0
81.80797092083357,11.0
81.80797092083357,12.0
81.92853063651744,11.0
81.92853063651744,12.0
82.52305870214937,11.0
82.52305870214937,12.0
82.66299134720543,11.0
82.66299134720543,12.0
89.52480316189484,11.0
89.52480316189484,12.0
91.14814194301958,11.0
91.14814194301958,12.0
92.70899640204472,11.0
92.70899640204472,12.0
93.40915616116888,11.0
93.40915616116888,12.0
93.5082066362632,11.0
93.5082066362632,12.0
94.79943166941243,11.0
94.79943166941243,12.0
95.9476139022303,11.0
95.9476139022303,12.0
96.02210856617438,11.0
96.02210856617438,12.0
96.06776291324691,11.0
96.06776291324691,12.0
97.32016584270143,11.0
97.32016584270143,12.0
97.62783987134122,11.0
97.62783987134122,12.0
97.9353580395233,11.0
97.9353580395233,12.0
104.80282464697662,11.0
104.80282464697662,12.0
106.05014989730624,11.0
106.05014989730624,12.0
107.73511756345525,11.0
107.73511756345525,12.0
107.78291532624395,11.0
107.78291532624395,12.0
109.44874466381843,11.0
109.44874466381843,12.0
110.11118404098423,11.0
110.11118404098423,12.0
110.23428930903444,11.0
110.23428930903444,12.0
111.92606397009561,11.0
111.92606397009561,12.0
112.07265551848548,11.0
112.07265551848548,12.0
112.12596592790078,11.0
112.12596592790078,12.0
113.55853451628116,11.0
113.55853451628116,12.0
113.82722964403106,11.0
113.82722964403106,12.0
119.98913665174102,11.0
119.98913665174102,12.0
122.05058218061724,11.0
122.05058218061724,12.0
122.66839617129324,11.0
122.66839617129324,12.0
122.78506978182324,11.0
122.78506978182324,12.0
124.48914097570781,11.0
124.48914097570781,12.0
124.97651231479603,11.0
124.97651231479603,12.0
125.58510538891005,11.0
125.58510538891005,12.0
126.46998952805362,11.0
126.46998952805362,12.0
127.00060914866785,11.0
127.00060914866785,12.0
127.61660342597999,11.0
127.61660342597999,12.0
127.89946561437888,11.0
127.89946561437888,12.0
128.53885198716173,11.0
128.53885198716173,12.0
134.77991205511094,11.0
134.77991205511094,12.0
136.32167813349545,11.0
136.32167813349545,12.0
138.14055290570334,11.0
138.14055290570334,12.0
138.83914097747547,11.0
138.83914097747547,12.0
139.5989251316205,11.0
139.5989251316205,12.0
140.4135637734912,11.0
140.4135637734912,12.0
141.29231701536662,11.0
141.29231701536662,12.0
141.34761490761352,11.0
141.34761490761352,12.0
141.6867041999759,11.0
141.6867041999759,12.0
142.95803157211733,11.0
142.95803157211733,12.0
143.01621962861748,11.0
143.01621962861748,12.0
143.14538862761978,11.0
143.14538862761978,12.0
151.119980918735,11.0
151.119980918735,12.0
151.5126873238766,11.0
151.5126873238766,12.0
152.68472168986307,11.0
152.68472168986307,12.0
153.4118883840026,11.0
153.4118883840026,12.0
154.34532620817987,11.0
154.34532620817987,12.0
155.74560214569217,11.0
155.74560214569217,12.0
156.00337462469383,11.0
156.00337462469383,12.0
156.45360781176902,11.0
156.45360781176902,12.0
156.91321790529764,11.0
156.91321790529764,12.0
157.59272460907687,11.0
157.59272460907687,12.0
158.27939372152855,11.0
158.27939372152855,12.0
158.83154030320048,11.0
158.83154030320048,12.0
165.7786646697741,11.0
165.7786646697741,12.0
165.79872255651298,11.0
165.79872255651298,12.0
167.65438663027263,11.0
167.65438663027263,12.0
168.34082391445943,11.0
168.34082391445943,12.0
169.25976395869333,11.0
169.25976395869333,12.0
169.97822606101525,11.0
169.97822606101525,12.0
170.83918678047743,11.0
170.83918678047743,12.0
170.90985795490016,11.0
170.90985795490016,12.0
171.64032592542392,11.0
171.64032592542392,12.0
171.6989826030099,11.0
171.6989826030099,12.0
171.75737892204071,11.0
171.75737892204071,12.0
174.55150507050314,11.0
174.55150507050314,12.0
179.93575518904217,11.0
179.93575518904217,12.0
180.09681012265156,11.0
180.09681012265156,12.0
182.8872196327872,11.0
182.8872196327872,12.0
183.06919128031464,11.0
183.06919128031464,12.0
183.4542814780735,11.0
183.4542814780735,12.0
184.74234351511478,11.0
184.74234351511478,12.0
185.18625070042177,11.0
185.18625070042177,12.0
186.29243539667794,11.0
186.29243539667794,12.0
186.6276059889557,11.0
186.6276059889557,12.0
186.902780824556,11.0
186.902780824556,12.0
188.23376908592718,11.0
188.23376908592718,12.0
188.56689420299944,11.0
188.56689420299944,12.0
195.2500693867782,11.0
195.2500693867782,12.0
195.86098835279074,11.0
195.86098835279074,12.0
