ts,occ,scenario,rep_num
0.0,0.0,base_r3s4i18s2,2
3.4294776701323477,1.0,base_r3s4i18s2,2
3.6927095520523663,2.0,base_r3s4i18s2,2
4.348850295730843,3.0,base_r3s4i18s2,2
5.129849622690401,4.0,base_r3s4i18s2,2
5.922414359567304,5.0,base_r3s4i18s2,2
7.021431278286281,6.0,base_r3s4i18s2,2
8.947916328681654,7.0,base_r3s4i18s2,2
9.517403919780854,8.0,base_r3s4i18s2,2
9.529765872027705,9.0,base_r3s4i18s2,2
9.57737384508581,10.0,base_r3s4i18s2,2
11.15514471429556,11.0,base_r3s4i18s2,2
11.597327905501714,12.0,base_r3s4i18s2,2
11.712976663671354,13.0,base_r3s4i18s2,2
11.737493701653023,14.0,base_r3s4i18s2,2
12.58540937951443,15.0,base_r3s4i18s2,2
13.355543792543834,16.0,base_r3s4i18s2,2
13.393826905732642,17.0,base_r3s4i18s2,2
14.648626976924087,18.0,base_r3s4i18s2,2
14.70540851200888,19.0,base_r3s4i18s2,2
15.280397989978558,20.0,base_r3s4i18s2,2
15.903432854032033,21.0,base_r3s4i18s2,2
16.772045468177943,22.0,base_r3s4i18s2,2
17.22635334977112,23.0,base_r3s4i18s2,2
17.40341919738118,24.0,base_r3s4i18s2,2
17.435597628543267,25.0,base_r3s4i18s2,2
18.8306561443717,24.0,base_r3s4i18s2,2
18.8306561443717,25.0,base_r3s4i18s2,2
19.167226963550984,24.0,base_r3s4i18s2,2
19.167226963550984,25.0,base_r3s4i18s2,2
19.375263327444177,24.0,base_r3s4i18s2,2
19.375263327444177,25.0,base_r3s4i18s2,2
19.790314559463454,24.0,base_r3s4i18s2,2
19.790314559463454,25.0,base_r3s4i18s2,2
19.807294435556912,24.0,base_r3s4i18s2,2
20.753068975674854,25.0,base_r3s4i18s2,2
22.87687289981968,24.0,base_r3s4i18s2,2
22.87687289981968,25.0,base_r3s4i18s2,2
22.93118517862149,24.0,base_r3s4i18s2,2
22.93118517862149,25.0,base_r3s4i18s2,2
24.150099184209715,24.0,base_r3s4i18s2,2
24.150099184209715,25.0,base_r3s4i18s2,2
24.97041092917715,24.0,base_r3s4i18s2,2
24.97041092917715,25.0,base_r3s4i18s2,2
25.302005175984732,24.0,base_r3s4i18s2,2
25.302005175984732,25.0,base_r3s4i18s2,2
25.326510883507414,24.0,base_r3s4i18s2,2
25.326510883507414,25.0,base_r3s4i18s2,2
25.586143787054283,24.0,base_r3s4i18s2,2
25.586143787054283,25.0,base_r3s4i18s2,2
26.744700245126467,24.0,base_r3s4i18s2,2
26.744700245126467,25.0,base_r3s4i18s2,2
26.92249630404457,24.0,base_r3s4i18s2,2
26.92249630404457,25.0,base_r3s4i18s2,2
27.212002497143246,24.0,base_r3s4i18s2,2
